SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1647835811.094746, -2.317886, -4.253748, -0.342072, 3.462732, 0.370453, 3.308715, , , 
1647835811.115128, -4.077924, -4.342932, 1.434426, 2.170252, -0.231342, 2.888428, , , 
1647835811.135148, -5.675605, -3.974674, 2.389413, 1.197609, -1.151995, 2.660973, , , 
1647835811.155205, -7.607875, -3.356970, 3.655347, 0.159033, -2.123296, 2.394107, , , 
1647835811.175118, -9.929353, -1.706168, 4.964228, -0.526157, -2.326322, 1.854473, , , 
1647835811.195139, -14.434193, -0.100556, 5.898714, -0.770065, -1.501190, 0.607296, , , 
1647835811.215147, -17.231818, 0.003442, 6.555923, -0.836254, -0.106254, -0.947471, , , 
1647835811.235144, -17.272070, 0.337882, 6.723218, -0.991212, 1.195991, -2.504133, , , 
1647835811.255122, -14.347253, 0.237625, 4.725406, -1.184375, 1.609616, -3.717975, , , 
1647835811.275131, -10.755652, -0.174178, 3.279607, -1.680490, 1.392528, -4.669833, , , 
1647835811.295182, -7.610419, -0.530016, 1.617882, -2.115867, 1.111216, -5.421372, , , 
1647835811.315134, -4.551826, -0.354940, -0.213234, -2.416444, 1.113554, -6.207971, , , 
1647835811.335125, -0.056713, -0.376937, -1.680430, -2.423126, 1.965015, -6.591900, , , 
1647835811.355149, 9.047538, -2.677017, -5.486762, -1.605623, 3.098574, -5.666092, , , 
1647835811.375124, 19.058593, -8.932018, -13.648147, -0.084726, 1.918680, -3.519293, , , 
1647835811.395132, 25.250747, -11.001357, -16.661399, 0.915717, -0.098095, -1.539426, , , 
1647835811.415216, 22.410625, -14.042142, -13.368474, 1.114908, -1.016851, -0.431386, , , 
1647835811.435131, 21.617696, -16.471210, -10.285939, 1.572974, -0.954876, 0.839041, , , 
1647835811.455130, 21.127333, -16.440534, -8.198495, 2.144810, -0.714817, 2.233263, , , 
